"Year","Exports"
1960,19.8661933369743
1961,17.6463071811909
1962,15.0523800771917
1963,17.7588574567427
1964,18.3980463980464
1965,17.1308761862723
1966,16.3333742281111
1967,16.8257850718005
1968,11.7999212288302
1969,13.4528315891041
1970,13.568215892054
1971,13.2416980181888
1972,12.7102388034806
1973,13.5351513635226
1974,20.367410342421
1975,18.1679418083142
1976,17.167317960803
1977,21.5861338140538
1978,19.9031709963356
1979,26.4927384576357
1980,30.514638285394
1981,30.961436324455
1982,26.3332739579622
1983,22.9323308270677
1984,20.5696202531646
1985,18.230563002681
1986,13.8321995464853
1987,12.621359223301
1988,17.3701298701299
1989,17.7922077922078
1990,20.3549060542798
1991,27.4666666666667
1992,28.3968368080518
1993,25.8376288659794
1994,22.5714285714286
1995,22.5490196078431
1996,20.7497820401046
1997,18.8416698006769
1998,16.214335421016
1999,15.0520156046814
2000,16.2011173184358
2001,17.4797881237803
2002,18.3161784111903
2003,21.7964071856287
2004,28.2299608489594
2005,30.3435468895079
2006,29.9498138254816
2007,30.249731471536
2008,33.0429927414852
2009,24.9568221070812
2010,21.3492458146859
2011,20.5674276128656
2012,16.3969666208873
2013,17.0178456245969
2014,14.2441314553991
2015,13.1838454928598
2016,10.3454639403558
2017,15.8184438040346
